age,fnlwgt,class
66,75134, <=50K
19,195985, <=50K
23,221955, <=50K
34,177675, >50K
39,182828, <=50K
33,270889, <=50K
43,183096, <=50K
27,336951, <=50K
33,295589, <=50K
26,289980, <=50K
56,70720, >50K
46,163352, <=50K
38,190776, <=50K
90,313986, <=50K
72,473748, >50K
20,163003, <=50K
29,183061, <=50K
49,123584, <=50K
23,120910, <=50K
20,227554, <=50K
57,182677, <=50K
46,214955, <=50K
33,209768, >50K
24,258120, <=50K
49,110015, <=50K
54,152652, <=50K
46,43206, >50K
31,114639, <=50K
43,221172, >50K
18,128538, <=50K
19,131615, <=50K
46,353824, <=50K
43,178417, <=50K
58,178644, <=50K
43,271665, <=50K
37,223732, <=50K
21,169003, <=50K
52,338816, >50K
34,506858, >50K
28,265628, <=50K
34,173495, <=50K
29,177413, >50K
39,31670, <=50K
49,154451, <=50K
35,265535, >50K
31,118941, <=50K
18,214617, <=50K
47,265097, >50K
46,276087, <=50K
43,124692, >50K
51,306784, >50K
21,434102, <=50K
18,387641, <=50K
31,181824, >50K
39,177907, >50K
58,87329, <=50K
36,263130, <=50K
38,262882, <=50K
31,37546, >50K
19,27433, <=50K
38,393945, <=50K
26,173927, <=50K
38,343403, <=50K
36,111128, <=50K
40,193882, >50K
25,310864, <=50K
41,128354, >50K
33,113364, <=50K
63,198559, <=50K
51,136913, <=50K
34,115488, <=50K
33,154227, <=50K
25,279667, <=50K
30,281030, <=50K
19,283945, <=50K
47,454989, >50K
26,391349, <=50K
21,166704, <=50K
36,151835, >50K
60,199085, <=50K
28,61487, <=50K
19,120251, <=50K
42,273230, <=50K
36,358373, <=50K
35,267891, <=50K
22,234880, <=50K
54,48358, >50K
36,96452, <=50K
55,204751, <=50K
57,375868, <=50K
56,413373, <=50K
24,537222, <=50K
35,33975, >50K
51,162327, <=50K
34,182691, <=50K
36,300829, <=50K
51,114508, <=50K
46,214627, >50K
42,129684, <=50K
25,120041, <=50K
22,361138, <=50K
37,76893, <=50K
48,205424, >50K
61,176839, >50K
40,229148, <=50K
58,154537, >50K
52,181901, <=50K
18,152004, <=50K
27,205188, <=50K
48,30840, <=50K
63,66634, <=50K
38,180220, <=50K
31,291052, <=50K
40,99651, <=50K
41,327723, <=50K
28,32291, <=50K
31,345122, >50K
32,127384, >50K
30,363296, <=50K
39,86551, <=50K
28,30070, <=50K
31,595000, <=50K
21,152328, <=50K
33,177824, <=50K
44,111483, >50K
22,199555, <=50K
42,50018, <=50K
36,218490, <=50K
39,49020, <=50K
61,213321, <=50K
31,159187, <=50K
21,83033, <=50K
39,31848, <=50K
34,24961, <=50K
21,182117, <=50K
75,146576, >50K
21,176690, <=50K
81,122651, <=50K
54,149650, <=50K
34,454508, <=50K
54,269068, >50K
41,266530, <=50K
61,198542, <=50K
63,133144, <=50K
24,217961, <=50K
20,221661, <=50K
44,60735, <=50K
47,121124, >50K
31,48588, <=50K
41,48087, <=50K
53,240138, <=50K
63,273010, <=50K
44,104196, >50K
37,230035, >50K
28,38918, >50K
71,205011, <=50K
57,176079, <=50K
22,180052, <=50K
33,173005, >50K
30,378723, <=50K
20,233624, <=50K
28,192591, <=50K
54,249860, <=50K
20,247564, <=50K
34,238912, <=50K
21,190227, <=50K
29,293287, <=50K
51,180807, <=50K
39,250217, <=50K
19,217418, <=50K
22,137510, <=50K
59,163047, <=50K
18,577521, <=50K
22,221533, <=50K
42,255675, >50K
39,114079, <=50K
31,155781, >50K
28,243762, <=50K
22,113062, <=50K
67,217028, <=50K
17,110723, <=50K
47,191858, >50K
23,179423, <=50K
20,339588, <=50K
22,206815, <=50K
47,103743, <=50K
49,235683, >50K
64,207321, <=50K
35,197495, <=50K
52,424012, <=50K
29,178469, <=50K
73,92886, <=50K
38,214008, >50K
59,325732, >50K
35,28572, <=50K
18,118376, <=50K
24,51799, <=50K
33,115488, <=50K
40,190621, <=50K
55,193568, <=50K
44,192878, <=50K
40,264663, <=50K
22,234731, <=50K
55,308373, >50K
45,205644, <=50K
47,321851, >50K
56,206399, <=50K
44,124563, <=50K
32,198211, <=50K
17,130795, <=50K
44,71269, <=50K
32,319280, <=50K
35,125933, >50K
27,107236, <=50K
32,32732, <=50K
68,284763, <=50K
20,112668, <=50K
33,376483, <=50K
24,402778, <=50K
48,36177, <=50K
45,125489, <=50K
48,304791, <=50K
28,209205, >50K
60,112821, >50K
39,178100, <=50K
23,70261, <=50K
23,186634, <=50K
36,32958, <=50K
25,254746, <=50K
52,158746, <=50K
35,140854, <=50K
41,51506, <=50K
45,189564, >50K
37,325538, >50K
58,213975, <=50K
67,431426, <=50K
48,199763, <=50K
63,161563, <=50K
24,252024, >50K
43,43945, >50K
36,178487, <=50K
32,604506, <=50K
36,228157, <=50K
43,199191, <=50K
27,189775, <=50K
17,171080, <=50K
45,117310, <=50K
41,82049, <=50K
41,126094, <=50K
18,202516, <=50K
48,246392, <=50K
51,69328, >50K
26,292803, <=50K
54,286989, <=50K
22,190483, <=50K
19,235849, <=50K
47,359766, <=50K
32,128016, <=50K
46,360096, >50K
30,170154, >50K
35,337286, <=50K
52,204322, <=50K
73,143833, <=50K
17,365613, <=50K
32,100135, <=50K
43,180096, >50K
19,371827, <=50K
26,61270, <=50K
41,564135, >50K
49,198759, >50K
52,303462, <=50K
35,193106, <=50K
57,250201, <=50K
35,200426, <=50K
33,222654, <=50K
56,53366, <=50K
42,132222, <=50K
17,100828, <=50K
49,31264, <=50K
39,202027, >50K
34,168906, <=50K
37,255454, <=50K
22,245524, <=50K
27,386040, <=50K
21,35424, <=50K
59,93655, <=50K
44,152629, >50K
53,151159, <=50K
26,410240, <=50K
48,138970, >50K
39,269722, <=50K
34,223678, <=50K
54,197184, <=50K
36,143486, >50K
60,160625, <=50K
50,140516, >50K
48,85341, <=50K
35,108293, <=50K
40,192507, <=50K
30,186932, <=50K
65,223580, >50K
31,236861, <=50K
46,327886, <=50K
67,407618, <=50K
62,197060, <=50K
38,229180, <=50K
24,284317, <=50K
24,73514, <=50K
27,47907, <=50K
43,134782, <=50K
48,118831, <=50K
41,299505, <=50K
30,267161, <=50K
38,119177, >50K
45,327886, >50K
45,187730, <=50K
55,109015, <=50K
46,110015, <=50K
24,104146, <=50K
31,50442, <=50K
35,57640, <=50K
37,333664, <=50K
29,224858, <=50K
56,290641, >50K
60,191118, >50K
25,34402, <=50K
33,245378, <=50K
44,179136, <=50K
21,116788, <=50K
21,129699, <=50K
46,39606, >50K
44,95150, >50K
63,102479, <=50K
44,199191, <=50K
31,229636, <=50K
26,53833, <=50K
37,27997, <=50K
60,124487, >50K
33,111363, <=50K
38,107630, <=50K
26,134287, <=50K
46,283004, <=50K
24,33616, <=50K
47,121124, >50K
27,188189, <=50K
46,106255, <=50K
47,282830, >50K
47,243904, <=50K
69,165017, <=50K
32,131584, >50K
51,427781, <=50K
36,334291, >50K
50,173224, <=50K
29,87507, <=50K
32,187560, <=50K
27,204497, <=50K
60,230545, <=50K
31,118161, <=50K
46,150499, <=50K
40,96554, <=50K
39,288551, >50K
69,104003, <=50K
54,124963, >50K
56,198388, <=50K
47,126204, <=50K
25,91709, <=50K
34,152109, <=50K
24,191954, <=50K
63,108097, <=50K
29,289991, <=50K
64,92115, <=50K
44,320277, <=50K
26,33610, <=50K
36,168276, <=50K
55,175127, >50K
37,254973, >50K
37,95336, <=50K
63,346975, >50K
33,227282, <=50K
19,138153, <=50K
57,174132, >50K
31,182237, >50K
20,111252, <=50K
58,217775, >50K
20,168863, <=50K
25,394503, <=50K
40,141657, <=50K
18,125441, <=50K
26,172230, <=50K
29,282944, >50K
45,55377, <=50K
35,49352, <=50K
32,213887, <=50K
61,24046, <=50K
26,208122, <=50K
56,176118, >50K
22,227994, <=50K
49,215389, <=50K
40,99434, <=50K
37,190964, <=50K
23,113700, <=50K
28,259840, >50K
27,168827, <=50K
34,28984, <=50K
49,182211, <=50K
41,82393, <=50K
28,183639, <=50K
38,342448, >50K
47,469907, <=50K
28,211920, <=50K
44,33658, >50K
41,34178, <=50K
50,400630, >50K
73,161251, <=50K
21,255685, <=50K
38,199256, <=50K
64,143716, <=50K
47,221666, <=50K
52,145409, >50K
24,39615, <=50K
44,104440, >50K
27,151382, <=50K
61,503675, >50K
58,306233, >50K
51,216475, >50K
49,50748, <=50K
23,107190, <=50K
19,206874, <=50K
21,83141, <=50K
56,444089, <=50K
35,141896, <=50K
37,33487, <=50K
41,65372, >50K
30,341346, <=50K
35,343403, <=50K
47,287480, <=50K
59,107287, >50K
55,199067, <=50K
22,182771, <=50K
31,159737, <=50K
30,110643, >50K
24,117583, <=50K
49,43479, <=50K
23,203003, <=50K
50,133963, <=50K
38,227794, <=50K
20,112137, <=50K
49,110457, >50K
45,281565, <=50K
46,297906, >50K
19,151506, <=50K
31,139455, <=50K
38,26987, <=50K
56,233312, >50K
24,161092, <=50K
58,98361, <=50K
28,188928, <=50K
22,164922, <=50K
46,185673, <=50K
30,193598, <=50K
56,274111, >50K
32,245482, <=50K
56,160932, >50K
50,44368, <=50K
28,291374, <=50K
30,280927, <=50K
24,222993, <=50K
42,25240, <=50K
31,204052, >50K
18,74054, <=50K
46,169042, <=50K
31,104509, >50K
38,185394, >50K
44,254146, >50K
55,227856, >50K
19,183041, <=50K
45,107682, >50K
50,287598, <=50K
53,182186, <=50K
41,194636, >50K
45,112305, <=50K
21,212661, <=50K
37,32709, >50K
42,46366, <=50K
37,24106, <=50K
46,170850, <=50K
45,40666, <=50K
32,182975, <=50K
30,345122, <=50K
57,208311, >50K
37,120045, <=50K
18,201299, <=50K
32,152940, >50K
43,243580, >50K
46,182128, <=50K
36,176458, <=50K
33,101562, <=50K
48,108699, <=50K
34,175878, <=50K
34,177675, >50K
33,213887, <=50K
36,357619, <=50K
23,435835, <=50K
39,165799, <=50K
22,71469, <=50K
19,229745, <=50K
47,284916, >50K
46,28419, <=50K
47,26950, <=50K
47,107231, >50K
52,512103, <=50K
38,245090, <=50K
58,314153, >50K
32,243988, <=50K
54,82551, <=50K
20,42706, <=50K
25,235795, <=50K
25,108001, <=50K
36,112497, <=50K
69,128206, <=50K
28,224634, >50K
20,362999, <=50K
21,346693, <=50K
37,175759, >50K
21,99199, <=50K
25,219987, <=50K
39,143445, <=50K
34,118710, >50K
33,224185, <=50K
47,118972, >50K
29,165360, <=50K
48,38950, <=50K
42,277256, >50K
29,247151, <=50K
34,213722, <=50K
20,209955, <=50K
41,174395, >50K
45,138626, <=50K
22,179973, <=50K
23,200207, <=50K
19,156587, <=50K
24,33016, <=50K
20,197496, <=50K
32,153588, <=50K
52,99736, >50K
36,284166, >50K
18,716066, <=50K
27,188519, <=50K
26,109080, <=50K
52,174421, <=50K
24,259351, <=50K
42,284403, <=50K
39,85319, >50K
20,201766, <=50K
20,340475, <=50K
39,487486, <=50K
68,484298, <=50K
35,170617, <=50K
54,94055, <=50K
24,117779, <=50K
24,209770, <=50K
20,317443, <=50K
64,140237, <=50K
28,107411, <=50K
36,122493, <=50K
44,195124, <=50K
38,101978, >50K
22,335453, <=50K
56,318329, <=50K
24,100321, <=50K
24,81145, <=50K
22,62865, <=50K
21,176262, <=50K
42,168103, >50K
41,208174, <=50K
19,188815, <=50K
67,226092, <=50K
20,212668, <=50K
32,381583, <=50K
46,239439, <=50K
52,172493, <=50K
44,239876, <=50K
65,221881, <=50K
37,218184, >50K
27,206889, <=50K
35,110668, <=50K
30,211028, <=50K
64,202984, <=50K
48,20296, >50K
35,194690, <=50K
28,204984, <=50K
63,35021, >50K
40,238574, >50K
33,345360, <=50K
40,192381, >50K
25,479765, <=50K
45,34091, >50K
30,151773, >50K
53,299080, <=50K
63,135339, <=50K
27,52156, <=50K
31,318647, <=50K
33,80145, <=50K
39,343646, >50K
42,198692, >50K
19,266635, <=50K
31,197672, <=50K
53,185846, <=50K
47,315110, <=50K
27,220754, <=50K
22,64292, <=50K
29,126060, >50K
52,78012, <=50K
32,210562, <=50K
23,350181, <=50K
27,233421, <=50K
53,167170, <=50K
18,260801, <=50K
41,173370, <=50K
27,135520, <=50K
30,121308, <=50K
41,444743, <=50K
21,65225, <=50K
58,136982, <=50K
45,271962, <=50K
40,204046, <=50K
21,225823, <=50K
29,183009, <=50K
50,121038, <=50K
26,49092, <=50K
23,148709, <=50K
27,209205, <=50K
36,285865, <=50K
22,216129, <=50K
37,40955, <=50K
54,197189, <=50K
36,33001, <=50K
44,227399, <=50K
38,164050, >50K
49,259087, <=50K
18,236262, <=50K
26,177929, <=50K
48,166929, >50K
32,199963, <=50K
35,98776, <=50K
40,135056, <=50K
40,55363, <=50K
42,102343, >50K
30,231263, <=50K
19,226913, <=50K
36,129573, >50K
31,191001, <=50K
50,69345, <=50K
38,204556, <=50K
35,192626, >50K
45,202812, >50K
29,405177, <=50K
41,227890, >50K
33,101352, >50K
49,82572, <=50K
28,132686, >50K
49,149210, >50K
27,245661, <=50K
47,483596, <=50K
42,104663, >50K
30,347166, <=50K
37,108540, <=50K
37,333305, <=50K
51,155408, <=50K
27,246372, <=50K
53,30290, <=50K
45,347321, <=50K
37,205852, <=50K
40,163215, <=50K
54,93449, >50K
47,116927, >50K
35,164526, >50K
33,31573, <=50K
28,125159, <=50K
39,201105, >50K
25,122745, <=50K
33,150570, <=50K
34,118941, <=50K
53,141388, >50K
21,174714, <=50K
31,75755, >50K
63,133144, <=50K
21,318865, <=50K
59,109638, >50K
50,92969, <=50K
66,376028, <=50K
19,144161, <=50K
31,183778, <=50K
23,398904, <=50K
45,170846, >50K
35,204277, <=50K
32,205152, <=50K
20,225395, <=50K
38,33975, >50K
49,147032, <=50K
64,174826, <=50K
60,232769, <=50K
25,36984, <=50K
21,292264, <=50K
26,303973, <=50K
23,287988, <=50K
67,330144, >50K
24,191948, <=50K
46,324601, <=50K
38,200289, <=50K
20,113307, <=50K
28,194087, <=50K
26,155213, <=50K
58,175127, <=50K
31,358461, <=50K
37,354929, <=50K
53,104501, >50K
45,112929, <=50K
33,132832, <=50K
33,357691, <=50K
35,114605, <=50K
60,525878, <=50K
21,68358, <=50K
38,174571, <=50K
40,42703, <=50K
40,220589, >50K
44,197558, >50K
27,423250, <=50K
34,29254, >50K
20,308924, <=50K
49,276247, <=50K
37,213841, >50K
52,181677, >50K
46,160061, <=50K
20,285295, <=50K
43,265266, <=50K
46,222115, >50K
25,194954, <=50K
48,156926, <=50K
36,217414, <=50K
37,538443, >50K
18,192399, <=50K
42,383493, >50K
60,193235, <=50K
37,99452, >50K
44,254134, <=50K
32,90446, <=50K
29,116613, <=50K
42,238188, >50K
17,95909, <=50K
41,82319, <=50K
34,182274, >50K
56,179625, <=50K
28,119793, <=50K
28,254989, <=50K
19,104830, <=50K
49,110373, >50K
36,135416, <=50K
25,298225, <=50K
42,166740, <=50K
47,213668, >50K
26,276624, <=50K
35,226789, <=50K
37,31023, <=50K
39,116666, <=50K
42,136986, >50K
41,179580, >50K
23,103277, <=50K
31,351141, <=50K
36,191161, >50K
20,148709, <=50K
36,128382, <=50K
50,144361, >50K
37,172538, <=50K
25,102476, >50K
39,46028, <=50K
32,198452, <=50K
59,193895, <=50K
29,233421, <=50K
50,378747, <=50K
42,31251, <=50K
32,71540, <=50K
48,194772, >50K
20,34568, <=50K
50,36480, <=50K
18,116528, <=50K
60,52152, <=50K
60,216690, <=50K
42,227065, <=50K
49,84013, <=50K
35,82051, <=50K
30,176185, <=50K
59,115414, >50K
24,493034, >50K
55,354923, <=50K
19,393712, <=50K
39,98941, <=50K
48,141483, <=50K
44,172479, >50K
21,226145, <=50K
23,394612, <=50K
22,231085, <=50K
55,183810, >50K
19,186159, <=50K
23,162282, <=50K
46,219021, >50K
23,273206, <=50K
47,332355, >50K
23,102729, <=50K
42,198096, >50K
22,292933, <=50K
18,135924, <=50K
37,99146, >50K
34,27409, <=50K
30,299507, <=50K
62,102631, <=50K
51,153486, <=50K
34,434292, <=50K
28,240172, <=50K
56,219426, <=50K
46,295791, <=50K
46,114032, >50K
23,496382, <=50K
33,376483, <=50K
27,107218, <=50K
21,246207, <=50K
18,80564, <=50K
36,83089, >50K
37,328301, <=50K
39,301614, <=50K
36,199739, >50K
24,180060, <=50K
26,121040, <=50K
37,125550, <=50K
34,170772, <=50K
33,180551, <=50K
33,48189, <=50K
20,432154, <=50K
26,263200, <=50K
47,123207, >50K
17,110798, <=50K
53,238481, <=50K
31,185528, <=50K
34,181311, <=50K
23,528616, <=50K
39,272950, >50K
22,195532, <=50K
21,197583, <=50K
40,48612, <=50K
54,31533, >50K
32,148138, <=50K
29,30069, <=50K
68,170182, <=50K
27,230885, >50K
54,174102, >50K
23,352606, <=50K
38,241153, >50K
54,155433, <=50K
21,109414, <=50K
40,125461, <=50K
19,331556, <=50K
21,138575, <=50K
35,223514, <=50K
39,115418, <=50K
38,193026, <=50K
41,147206, >50K
26,174592, <=50K
35,268620, <=50K
70,150886, <=50K
45,112362, <=50K
83,195507, <=50K
59,192983, <=50K
18,120544, <=50K
31,59083, <=50K
43,208277, >50K
24,184678, <=50K
33,278736, <=50K
48,39464, <=50K
27,162343, <=50K
41,204046, <=50K
25,255647, <=50K
53,123011, >50K
66,291362, <=50K
31,159187, >50K
30,126414, <=50K
22,227626, <=50K
47,173783, >50K
74,211075, >50K
37,176756, >50K
35,31095, <=50K
51,32372, <=50K
40,331651, <=50K
51,146325, >50K
26,515025, <=50K
53,394474, <=50K
32,400535, <=50K
29,337505, <=50K
42,211860, <=50K
22,102684, <=50K
62,225657, <=50K
33,121966, <=50K
21,396790, <=50K
46,149949, >50K
25,252187, <=50K
29,209934, <=50K
29,229300, <=50K
33,170769, >50K
50,200618, <=50K
22,216984, <=50K
40,212760, <=50K
28,150309, <=50K
54,174655, <=50K
29,109621, <=50K
49,225124, <=50K
46,172695, <=50K
71,238479, <=50K
27,37754, <=50K
56,85018, <=50K
64,256466, >50K
23,169188, <=50K
36,210945, >50K
39,287031, >50K
26,224361, <=50K
31,108464, <=50K
36,75826, <=50K
43,120277, >50K
25,104439, <=50K
27,56870, <=50K
24,200819, <=50K
50,170562, <=50K
30,80933, <=50K
24,33088, <=50K
41,112763, >50K
29,177651, <=50K
31,261943, <=50K
54,169785, <=50K
20,141481, <=50K
37,433491, <=50K
28,86615, <=50K
39,125550, >50K
46,421223, <=50K
35,26999, <=50K
36,241998, >50K
34,133861, <=50K
44,115323, >50K
34,23778, <=50K
28,190836, >50K
38,159179, >50K
64,205479, >50K
19,47713, <=50K
35,163237, >50K
61,202202, <=50K
45,168837, <=50K
36,112271, <=50K
34,52537, <=50K
27,38353, <=50K
22,141698, <=50K
26,28856, <=50K
19,175652, <=50K
36,213008, <=50K
51,196501, >50K
63,118798, >50K
51,92463, <=50K
20,125165, <=50K
42,103980, <=50K
40,180362, <=50K
25,53903, <=50K
40,179735, <=50K
41,277390, >50K
49,122177, <=50K
46,188161, <=50K
32,170108, <=50K
28,175262, <=50K
19,204441, <=50K
19,164395, <=50K
18,115630, <=50K
39,178815, <=50K
60,168223, <=50K
46,202560, <=50K
38,100295, >50K
36,172256, >50K
45,51664, <=50K
60,358893, <=50K
30,115963, <=50K
22,333910, <=50K
23,148948, <=50K
48,130561, <=50K
46,428350, <=50K
43,188808, >50K
25,112847, <=50K
50,110748, <=50K
61,156653, <=50K
35,196491, <=50K
65,254413, <=50K
56,91262, <=50K
43,154785, <=50K
55,84231, <=50K
22,226327, <=50K
40,248406, <=50K
35,54317, <=50K
22,32732, <=50K
20,95918, <=50K
46,375675, >50K
43,244172, <=50K
46,233555, <=50K
39,326342, <=50K
34,77271, <=50K
35,33397, <=50K
30,446358, <=50K
25,151810, <=50K
44,125461, >50K
35,133906, <=50K
41,155106, <=50K
43,203637, >50K
32,232766, <=50K
50,305319, <=50K
20,121023, <=50K
29,198997, <=50K
38,167140, >50K
20,38772, <=50K
41,253759, <=50K
27,130067, <=50K
37,203828, <=50K
62,221558, <=50K
31,156464, <=50K
49,72333, <=50K
33,83671, <=50K
31,339482, >50K
19,91928, <=50K
44,99203, <=50K
31,455995, >50K
62,192515, <=50K
65,111483, >50K
17,221129, <=50K
60,85413, >50K
31,196125, <=50K
29,265638, <=50K
53,177727, >50K
44,205822, >50K
43,112607, <=50K
40,177595, <=50K
18,183315, <=50K
47,116279, <=50K
38,122493, <=50K
37,215419, <=50K
40,310101, <=50K
57,61885, >50K
43,59107, <=50K
32,227214, <=50K
64,239450, <=50K
18,118847, <=50K
40,95226, <=50K
17,659273, <=50K
23,215395, <=50K
45,170600, <=50K
45,91044, <=50K
27,318639, <=50K
23,160398, <=50K
58,216824, <=50K
35,308945, <=50K
47,30840, >50K
33,99309, <=50K
27,188576, >50K
46,83064, >50K
24,403865, <=50K
40,235786, >50K
44,191893, <=50K
31,149184, >50K
37,152909, >50K
23,435604, <=50K
30,109282, >50K
31,248178, <=50K
24,112683, <=50K
32,209103, <=50K
27,183639, <=50K
35,107233, <=50K
27,175387, <=50K
30,178255, <=50K
33,38223, <=50K
34,228873, >50K
29,202182, <=50K
26,425092, <=50K
39,152587, <=50K
37,39089, >50K
51,204304, >50K
40,116103, >50K
53,290640, <=50K
58,81973, >50K
29,134890, >50K
33,452924, <=50K
57,245193, >50K
69,34339, <=50K
20,184756, <=50K
56,392160, <=50K
49,168337, <=50K
34,309513, <=50K
70,77219, <=50K
44,212888, <=50K
37,361888, >50K
58,237879, <=50K
42,93099, <=50K
41,225193, <=50K
28,50814, <=50K
47,123681, >50K
24,249351, <=50K
58,222311, >50K
18,301762, <=50K
50,195298, >50K
69,541737, <=50K
84,241065, <=50K
47,129513, >50K
19,374262, <=50K
24,382146, <=50K
48,185291, <=50K
53,30447, <=50K
58,49893, <=50K
22,197387, <=50K
36,111957, <=50K
34,340458, <=50K
43,185670, <=50K
37,210945, <=50K
43,350661, >50K
42,190543, >50K
21,70261, <=50K
49,179048, <=50K
35,242094, <=50K
49,117634, <=50K
28,82531, <=50K
51,193374, <=50K
30,186420, <=50K
19,323605, >50K
56,371064, <=50K
20,39927, <=50K
22,64292, <=50K
33,198660, >50K
54,196975, <=50K
22,210165, <=50K
68,144137, <=50K
56,155657, <=50K
23,72953, <=50K
69,107548, <=50K
41,163258, <=50K
33,221324, <=50K
18,444822, <=50K
17,154398, <=50K
31,120672, <=50K
50,159650, >50K
62,290754, <=50K
41,49654, <=50K
20,147352, <=50K
23,227943, <=50K
18,423024, <=50K
53,64322, <=50K
42,445940, <=50K
23,230824, <=50K
43,48882, <=50K
47,168195, <=50K
53,188644, <=50K
28,136077, <=50K
28,119793, <=50K
44,336513, <=50K
58,186991, <=50K
25,218948, <=50K
26,211435, <=50K
36,280169, <=50K
27,109997, <=50K
39,286789, >50K
25,102460, <=50K
17,287160, <=50K
39,198097, <=50K
52,119111, <=50K
24,174461, <=50K
26,281678, <=50K
24,377725, <=50K
32,151053, >50K
49,186539, >50K
20,149478, <=50K
40,198452, <=50K
52,198863, >50K
33,176711, <=50K
19,165310, <=50K
37,213008, <=50K
21,38251, <=50K
33,125761, <=50K
28,148645, <=50K
48,273435, <=50K
43,208613, <=50K
32,192565, <=50K
28,183885, <=50K
47,243631, <=50K
37,191754, >50K
26,261278, <=50K
55,127014, <=50K
40,197919, <=50K
31,217460, >50K
39,86551, >50K
54,98051, >50K
38,215917, <=50K
53,192982, <=50K
27,334132, <=50K
42,136986, >50K
62,116812, <=50K
47,189123, <=50K
26,89648, <=50K
33,190027, <=50K
59,99248, <=50K
42,57600, <=50K
25,199224, >50K
58,140363, <=50K
30,308812, <=50K
21,275421, <=50K
61,213321, <=50K
33,157747, <=50K
51,182314, >50K
70,220589, <=50K
55,208640, >50K
29,189346, <=50K
46,124071, <=50K
35,20469, <=50K
31,154227, >50K
37,105044, >50K
43,35910, >50K
23,189203, <=50K
41,116493, >50K
42,19700, >50K
26,48718, <=50K
45,106113, >50K
25,256263, <=50K
33,202498, <=50K
38,120074, >50K
28,122922, <=50K
68,116903, <=50K
42,222596, >50K
35,107302, <=50K
36,156400, <=50K
33,53373, <=50K
22,58916, <=50K
45,167159, >50K
24,283806, <=50K
57,140426, <=50K
36,61778, >50K
41,33310, <=50K
26,202560, <=50K
25,60828, <=50K
53,153486, <=50K
28,167536, <=50K
30,370990, <=50K
38,198867, <=50K
37,174924, <=50K
30,175856, <=50K
41,169628, <=50K
29,125159, <=50K
31,220690, <=50K
36,160035, <=50K
59,116878, <=50K
33,134737, <=50K
29,81648, >50K
49,122177, >50K
50,69614, <=50K
33,112115, >50K
28,299422, <=50K
81,162882, <=50K
24,112854, <=50K
32,33417, <=50K
47,224559, >50K
44,468706, <=50K
24,357028, <=50K
37,51158, >50K
51,186303, >50K
52,127749, <=50K
22,291386, <=50K
28,138054, <=50K
47,174533, <=50K
43,200835, <=50K
25,108658, <=50K
43,180985, >50K
25,34803, <=50K
59,75867, <=50K
29,156819, <=50K
30,61272, <=50K
24,39827, <=50K
38,130007, <=50K
37,80324, >50K
26,322614, <=50K
30,140869, <=50K
73,181902, >50K
30,287908, <=50K
33,309630, <=50K
46,28225, <=50K
40,428584, <=50K
18,39222, <=50K
35,359131, >50K
22,122272, <=50K
50,198400, <=50K
62,73091, <=50K
39,283338, >50K
22,208946, <=50K
33,348416, <=50K
31,379046, <=50K
29,183887, <=50K
38,127961, >50K
24,211129, <=50K
29,187649, <=50K
49,94754, >50K
33,231826, <=50K
28,142764, <=50K
22,126822, <=50K
37,188069, <=50K
30,284395, <=50K
49,31267, <=50K
29,161444, <=50K
25,144483, <=50K
36,133655, <=50K
36,112074, <=50K
21,249727, <=50K
18,165754, <=50K
30,172822, <=50K
44,288433, <=50K
40,33331, <=50K
43,168071, <=50K
45,207277, >50K
29,130620, <=50K
40,136244, <=50K
43,972354, <=50K
20,245297, <=50K
32,71151, <=50K
19,118352, <=50K
21,117210, <=50K
23,120068, <=50K
24,48343, <=50K
52,84451, <=50K
51,76437, <=50K
19,281704, <=50K
54,123011, >50K
50,104729, <=50K
29,110134, <=50K
17,186067, <=50K
47,214702, <=50K
46,384795, <=50K
30,175931, <=50K
58,366324, <=50K
48,118717, <=50K
23,219835, <=50K
23,176486, <=50K
45,273435, <=50K
20,182661, <=50K
26,212304, <=50K
50,133963, >50K
49,165152, >50K
26,274724, <=50K
47,196707, <=50K
31,213002, <=50K
19,26620, <=50K
23,361481, <=50K
35,148581, <=50K
46,459189, >50K
28,214689, <=50K
58,289364, >50K
21,174907, <=50K
50,348099, <=50K
30,104965, <=50K
31,31600, <=50K
31,286282, <=50K
35,181705, >50K
33,238912, >50K
34,134737, >50K
67,157403, >50K
37,197429, >50K
48,47343, >50K
34,67083, <=50K
24,249957, <=50K
55,175942, <=50K
50,192982, >50K
40,209547, >50K
33,142675, <=50K
51,190333, <=50K
30,196396, <=50K
41,166740, <=50K
47,174533, >50K
27,210867, <=50K
37,118486, >50K
40,144067, <=50K
36,106964, <=50K
37,178136, <=50K
38,196554, >50K
40,403550, <=50K
35,498216, <=50K
47,192755, >50K
20,53738, <=50K
33,156192, >50K
45,189802, <=50K
66,213149, >50K
35,179171, <=50K
32,77634, <=50K
23,189830, <=50K
19,127190, <=50K
44,174147, <=50K
20,138107, <=50K
44,269733, <=50K
41,227734, <=50K
19,318822, <=50K
48,48885, <=50K
45,205424, >50K
40,173858, <=50K
34,202450, >50K
20,154779, <=50K
33,180551, <=50K
30,177522, <=50K
23,277328, <=50K
34,112584, <=50K
48,85384, >50K
32,123971, <=50K
42,69019, >50K
22,112847, <=50K
60,52900, >50K
42,37937, >50K
45,59380, <=50K
47,114770, <=50K
29,216481, >50K
34,176469, <=50K
34,176831, >50K
39,410034, <=50K
29,93662, <=50K
42,144236, <=50K
48,240917, <=50K
53,608184, >50K
51,243361, <=50K
44,35166, <=50K
46,182655, >50K
51,142717, >50K
32,272944, <=50K
